text,text_len,speaker,bitrate,latency_ms,success,size_bytes
你好世界,4,Vivian,192k,1747.3725810014002,True,37004
你好世界,4,Vivian,192k,1830.0440879975213,True,38444
你好世界,4,Vivian,192k,1560.3779129996838,True,32204
你好世界,4,Vivian,192k,1425.95450799854,True,28844
你好世界,4,Vivian,192k,1561.655890000111,True,32204
你好世界,4,Serena,192k,1710.4508459997305,True,35084
你好世界,4,Serena,192k,1625.2555510000093,True,33644
你好世界,4,Serena,192k,1351.6707550006686,True,25484
你好世界,4,Serena,192k,1557.6767969978391,True,32204
你好世界,4,Serena,192k,1227.0362859999295,True,25484
你好世界,4,Uncle_Fu,192k,2726.783301000978,True,57644
你好世界,4,Uncle_Fu,192k,2683.247412998753,True,57644
你好世界,4,Uncle_Fu,192k,2821.070472997235,True,61004
你好世界,4,Uncle_Fu,192k,1652.405542001361,True,35084
你好世界,4,Uncle_Fu,192k,2390.0169339976856,True,51404
你好世界,4,Dylan,192k,1789.5772039992153,True,38444
你好世界,4,Dylan,192k,2473.465507002402,True,52844
你好世界,4,Dylan,192k,4720.599838998169,True,99404
你好世界,4,Dylan,192k,1697.5552229996538,True,35084
你好世界,4,Dylan,192k,2102.976445999957,True,44684
你好世界,4,Eric,192k,1101.3731849998294,True,22604
你好世界,4,Eric,192k,993.8213140012522,True,20684
你好世界,4,Eric,192k,1424.7386969982472,True,28844
你好世界,4,Eric,192k,1085.5215459996543,True,22604
你好世界,4,Eric,192k,1006.8726120007341,True,20684
